Machine Brand,Count of Machine Brand,,Machine Brand,Machine Type,Machine Sub-Type,Count of Machine Brand,,Technician: State,Machine Type,Machine Brand,Count of Machine Brand,,State,Count of Technician: State
Generated By: Retail India Team 5/08/2025 12:26 PM,1,,,,(blank),164,,,,Haier - (Domestic),8,,,
Menumaster - (Commercial),1,,,,Side By Side,121,,,,Beko - (Domestic),7,,,
Nationwide Appliance Repairs,1,,,,Fridge Only,15,,,,Omega - (Domestic),7,,,
"Copyright (c) 2000-2025 salesforce.com, inc. All rights reserved.",1,,,,Other,11,,,,Siemens - (Domestic),6,,,
Confidential Information - Do Not Distribute,1,,,,Freezer Only,3,,,,Kleenmaid - (Premium Domestic),6,,,
Job by Brands and Machine Type,1,,,,Wine Fridge,3,,,,Solt - (Domestic) - (Limited Parts),5,,,
Atlas - (Domestic) - (Limited Parts),1,,,Refrigerator Total,,4815,,,,Seiki - (Domestic),5,,,
(blank),,,,Washing Machine,Front Loader,2312,,,,Sharp - (Domestic),5,,,
Grand Total,170626,,,,Top Loader,658,,,,Hisense - (Domestic),3,,,
,,,,,(blank),123,,,,Whirlpool - (Domestic),3,,,
,,,,,Twin Tub,45,,,,Hoover - (Domestic),3,,,
,,,,Washing Machine Total,,3138,,,Washing Machine Total,,392,,,
,,,,Combo Washer & Dryer,(blank),251,,,Refrigerator,Fisher and Paykel - (Domestic),67,,,
,,,,,Electric,111,,,,LG - (Domestic),48,,,
,,,,,Unknown,20,,,,Samsung - (Domestic),35,,,
,,,,,Other,11,,,,Hisense - (Domestic),32,,,
,,,,Combo Washer & Dryer Total,,393,,,,Haier - (Domestic),27,,,
,,,,Dryer,Heat Pump,202,,,,Grand Cru - (Premium Domestic) - (Limited Parts),25,,,
,,,,,(blank),28,,,,Liebherr - (Premium Domestic),22,,,
,,,,Dryer Total,,230,,,,Westinghouse - (Domestic),19,,,
,,,,Dishwasher,Free Standing,67,,,,Beko - (Domestic),13,,,
,,,,,Under Bench,67,,,,Kelvinator - (Domestic),12,,,
,,,,,(blank),9,,,,Skope - (Commercial),7,,,
,,,,Dishwasher Total,,143,,,,Multiple Appliances,6,,,
,,,,Other,(blank),38,,,,Miele - (Premium Domestic),6,,,
,,,,Other Total,,38,,,,Other,3,,,
,,,,Oven - (Freestanding),Electric,6,,,,Smeg - (Domestic),3,,,
,,,,,Free Standing,4,,,,(blank),,,,
,,,,Oven - (Freestanding) Total,,10,,,Refrigerator Total,,325,,,
,,,,Microwave,Bench Top,6,,,Oven - (Freestanding),Ilve - (Premium Domestic),45,,,
,,,,Microwave Total,,6,,,,Smeg - (Domestic),19,,,
,,,,Vacuum Cleaner,Robot,5,,,,Ariston - (Domestic),18,,,
,,,,Vacuum Cleaner Total,,5,,,,Westinghouse - (Domestic),16,,,
,,,,Cooktop,Ceramic,3,,,,Miele - (Premium Domestic),11,,,
,,,,Cooktop Total,,3,,,,Euromaid - (Domestic),8,,,
,,,Samsung - (Domestic) Total,,,8781,,,,Bosch - (Domestic),7,,,
,,,Westinghouse - (Domestic),Refrigerator,Fridge & Freezer,2324,,,,St George - (Premium Domestic) - (Limited Parts),6,,,
,,,,,(blank),431,,,,Omega - (Domestic),6,,,
,,,,,Fridge Only,246,,,,Unknown,6,,,
,,,,,Freezer Only,113,,,,IAG - (Domestic),6,,,
,,,,,Side By Side,103,,,,Fisher and Paykel - (Domestic),6,,,
,,,,,French Door,92,,,,Emilia - (Domestic),6,,,
,,,,,Other,18,,,,Unox - (Commercial),5,,,
,,,,,Bar Fridge,5,,,,Gorenje - (Domestic) - (Limited Parts),5,,,
,,,,Refrigerator Total,,3332,,,,Baumatic - (Domestic),5,,,
,,,,Oven - (Freestanding),Electric,443,,,,Inalto - (Domestic) - (Limited Parts),5,,,
,,,,,(blank),331,,,,Whirlpool - (Domestic),3,,,
,,,,,Free Standing,207,,,Oven - (Freestanding) Total,,183,,,
,,,,,Natural Gas,130,,,Cooktop,Smeg - (Domestic),18,,,
,,,,,Dual Fuel,100,,,,DeLonghi - (Domestic),10,,,
,,,,,Built In,70,,,,Bosch - (Domestic),9,,,
,,,,,Double,53,,,,Euromaid - (Domestic),6,,,
,,,,,Gas,37,,,,Westinghouse - (Domestic),6,,,
,,,,,LPG Gas,32,,,,Multiple Appliances,6,,,
,,,,,Oven with Seperate Grill,30,,,,Robinhood - (Domestic) - (Limited Parts),6,,,
,,,,,Stove,9,,,,St George - (Premium Domestic) - (Limited Parts),5,,,
,,,,,Compact,7,,,,Miele - (Premium Domestic),5,,,
,,,,,Combination Microwave & Oven,6,,,,Goldline - (Premium Domestic),3,,,
,,,,,Unknown,3,,,Cooktop Total,,74,,,
,,,,,Other,3,,,Dryer,Fisher and Paykel - (Domestic),17,,,
,,,,,Pyrolytic,3,,,,Asko - (Premium Domestic),12,,,
,,,,Oven - (Freestanding) Total,,1464,,,,Omega - (Domestic),9,,,
,,,,Dishwasher,Under Bench,406,,,,Miele - (Premium Domestic),8,,,
,,,,,Free Standing,387,,,,Electrolux - (Domestic),7,,,
,,,,,(blank),300,,,,Bosch - (Domestic),3,,,
,,,,,Double Dish Drawer,10,,,Dryer Total,,56,,,
,,,,,Semi Integrated,10,,,Other,Grand Cru - (Premium Domestic) - (Limited Parts),11,,,
,,,,,Single Dish Drawer,7,,,,Multiple Appliances,8,,,
,,,,Dishwasher Total,,1120,,,,Other,3,,,
,,,,Cooktop,Gas,201,,,Other Total,,22,,,
,,,,,Natural Gas,200,,,Combo Washer & Dryer,Electrolux - (Domestic),12,,,
,,,,,Ceramic,146,,,,Samsung - (Domestic),5,,,
,,,,,LPG Gas,91,,,,LG - (Domestic),4,,,
,,,,,Electric,83,,,Combo Washer & Dryer Total,,21,,,
,,,,,(blank),82,,,Microwave,Panasonic - (Domestic),10,,,
,,,,,Induction,51,,,Microwave Total,,10,,,
,,,,Cooktop Total,,854,,,Rangehood,Fisher and Paykel - (Domestic),3,,,
,,,,Oven - (Built In),Electric,326,,,,Multiple Appliances,3,,,
,,,,,(blank),197,,,,Ilve - (Premium Domestic),3,,,
,,,,,Gas,60,,,Rangehood Total,,9,,,
,,,,,Double,51,,,Cocktail machine,Mixologiq - (Commercial) - (Limited Parts),8,,,
,,,,,Oven with Seperate Grill,26,,,Cocktail machine Total,,8,,,
,,,,,Pyrolytic,11,,,Bain Marie,Other,6,,,
,,,,Oven - (Built In) Total,,671,,,Bain Marie Total,,6,,,
,,,,Washing Machine,Top Loader,157,,NSW Total,,,1576,,,
,,,,,Front Loader,51,,QLD,Dishwasher,Fisher and Paykel - (Domestic),65,,,
,,,,,(blank),10,,,,Hobart - (Commercial),55,,,
,,,,Washing Machine Total,,218,,,,Smeg - (Domestic),54,,,
,,,,Dryer,Vented,68,,,,Miele - (Premium Domestic),53,,,
,,,,,(blank),47,,,,Norris - (Commercial),50,,,
,,,,,Condenser,37,,,,Bosch - (Domestic),50,,,
,,,,,Unknown,14,,,,Asko - (Premium Domestic),50,,,
,,,,,Wall Mounted,10,,,,Ilve - (Premium Domestic),18,,,
,,,,,Electric,9,,,,LG - (Domestic),12,,,
,,,,,Heat Pump,5,,,,Baumatic - (Domestic),12,,,
,,,,,Stacked,4,,,,Electrolux - (Domestic),12,,,
,,,,Dryer Total,,194,,,,Ariston - (Domestic),9,,,
,,,,Rangehood,Canopy,67,,,,Classeq - (Commercial),8,,,
,,,,,(blank),63,,,,Euromaid - (Domestic),8,,,
,,,,,Fixed,36,,,,Kogan - (Domestic) - (Limited Parts),7,,,
,,,,,Slide out,27,,,,Technika - (Domestic),6,,,
,,,,Rangehood Total,,193,,,,AEG - (Domestic),6,,,
,,,,Microwave,Bench Top,15,,,,DeLonghi - (Domestic),6,,,
,,,,,Combination,9,,,,Westinghouse - (Domestic),6,,,
,,,,,(blank),6,,,,Meiko - (Commercial),6,,,
,,,,,Built In,3,,,,Siemens - (Domestic),5,,,
,,,,Microwave Total,,33,,,,Omega - (Domestic),5,,,
,,,,Chest Freezer,(blank),16,,,,Comenda - (Commercial),5,,,
,,,,Chest Freezer Total,,16,,,,Simpson - (Domestic),3,,,
,,,,Combo Washer & Dryer,(blank),5,,,,Blanco - (Domestic),3,,,
,,,,Combo Washer & Dryer Total,,5,,,Dishwasher Total,,514,,,
,,,,Cooker,(blank),3,,,Refrigerator,Fisher and Paykel - (Domestic),59,,,
,,,,Cooker Total,,3,,,,LG - (Domestic),48,,,
,,,Westinghouse - (Domestic) Total,,,8103,,,,Samsung - (Domestic),36,,,
,,,Smeg - (Domestic),Dishwasher,Under Bench,1584,,,,Hisense - (Domestic),23,,,
,,,,,(blank),704,,,,Mitsubishi - (Domestic) - (Limited Parts),13,,,
,,,,,Free Standing,607,,,,Sharp - (Domestic),13,,,
,,,,,Fully Integrated,593,,,,Bosch - (Domestic),13,,,
,,,,,Semi Integrated,326,,,,Westinghouse - (Domestic),13,,,
,,,,,Double Dish Drawer,4,,,,Electrolux - (Domestic),13,,,
,,,,,Single Dish Drawer,1,,,,Other,10,,,
,,,,Dishwasher Total,,3819,,,,Jenn Air - (Premium Domestic) - (Limited Parts),10,,,
,,,,Oven - (Freestanding),Electric,740,,,,Liebherr - (Premium Domestic),10,,,
,,,,,(blank),505,,,,Bromic - (Commercial),8,,,
,,,,,Free Standing,424,,,,Haier - (Domestic),7,,,
,,,,,Dual Fuel,250,,,,Miele - (Premium Domestic),7,,,
,,,,,Built In,95,,,,Grand Cru - (Premium Domestic) - (Limited Parts),6,,,
,,,,,Gas,52,,,,Amana - (Premium Domestic) - (Limited Parts),6,,,
,,,,,Double,39,,,,Sub Zero - (Commercial),5,,,
,,,,,Pyrolytic,18,,,,Panasonic - (Domestic),5,,,
,,,,,Natural Gas,18,,,,Unknown,5,,,
,,,,,LPG Gas,5,,,,Kelvinator - (Domestic),5,,,
,,,,Oven - (Freestanding) Total,,2146,,,,Polar - (Commercial),5,,,
,,,,Cooktop,Natural Gas,233,,,,Wellquip - (Commercial),3,,,
,,,,,Gas,164,,,,Whirlpool - (Domestic),3,,,
,,,,,(blank),136,,,,Smeg - (Domestic),3,,,
,,,,,Induction,136,,,,Gorenje - (Domestic) - (Limited Parts),3,,,
,,,,,LPG Gas,59,,,Refrigerator Total,,332,,,
,,,,,Electric,55,,,Washing Machine,Fisher and Paykel - (Domestic),36,,,
,,,,,Ceramic,15,,,,LG - (Domestic),32,,,
,,,,,Other,12,,,,Asko - (Premium Domestic),28,,,
,,,,Cooktop Total,,810,,,,Electrolux - (Domestic),26,,,
,,,,Oven - (Built In),Electric,361,,,,Miele - (Premium Domestic),23,,,
,,,,,(blank),184,,,,Bosch - (Domestic),23,,,
,,,,,Double,44,,,,Samsung - (Domestic),19,,,
,,,,,Pyrolytic,16,,,,Simpson - (Domestic),18,,,
,,,,Oven - (Built In) Total,,605,,,,Westinghouse - (Domestic),7,,,
,,,,Rangehood,Canopy,92,,,,Beko - (Domestic),6,,,
,,,,,(blank),79,,,,Esatto - (Domestic) - (Limited Parts),6,,,
,,,,,Under Mount,38,,,,Hoover - (Domestic),6,,,
,,,,,Slide out,27,,,,Whirlpool - (Domestic),6,,,
,,,,,Fixed,18,,,,Kleenmaid - (Premium Domestic),6,,,
,,,,Rangehood Total,,254,,,,Hisense - (Domestic),5,,,
,,,,Refrigerator,Fridge & Freezer,125,,,,Multiple Appliances,5,,,
,,,,,(blank),47,,,,Speed Queen - (Commercial),5,,,
,,,,,Fridge Only,6,,,,Other,3,,,
,,,,Refrigerator Total,,178,,,,AEG - (Domestic),3,,,
,,,,Microwave,Built In,53,,,,Unknown,3,,,
,,,,,(blank),44,,,,Haier - (Domestic),1,,,
,,,,Microwave Total,,97,,,Washing Machine Total,,267,,,
,,,,Washing Machine,Front Loader,16,,,Oven - (Freestanding),Other,21,,,
,,,,,(blank),5,,,,Smeg - (Domestic),19,,,
,,,,Washing Machine Total,,21,,,,Westinghouse - (Domestic),19,,,
,,,,Combo Washer & Dryer,(blank),21,,,,Ilve - (Premium Domestic),18,,,
,,,,Combo Washer & Dryer Total,,21,,,,Ariston - (Domestic),14,,,
,,,,Dryer,Condenser,11,,,,Euromaid - (Domestic),10,,,
,,,,,Heat Pump,10,,,,Multiple Appliances,9,,,
,,,,Dryer Total,,21,,,,Fisher and Paykel - (Domestic),8,,,
,,,,Coffee Machine,(blank),20,,,,Miele - (Premium Domestic),8,,,
,,,,Coffee Machine Total,,20,,,,Chef - (Domestic),7,,,
,,,Smeg - (Domestic) Total,,,7992,,,,Unox - (Commercial),7,,,
,,,Multiple Appliances,Other,(blank),2268,,,,Lofra - (Domestic),7,,,
,,,,Other Total,,2268,,,,Emilia - (Domestic),5,,,
,,,,Dishwasher,(blank),406,,,,Electrolux Professional - (Commercial),5,,,
,,,,,Under Bench,306,,,,AEG - (Domestic),5,,,
,,,,,Fully Integrated,97,,,,Rational - (Commercial),1,,,
,,,,,Free Standing,95,,,Oven - (Freestanding) Total,,163,,,
,,,,,Semi Integrated,59,,,Cooktop,Smeg - (Domestic),20,,,
,,,,,Double Dish Drawer,34,,,,Westinghouse - (Domestic),15,,,
,,,,Dishwasher Total,,997,,,,Miele - (Premium Domestic),11,,,
,,,,Washing Machine,(blank),383,,,,DeLonghi - (Domestic),9,,,
,,,,,Front Loader,256,,,,Fisher and Paykel - (Domestic),8,,,
,,,,,Top Loader,84,,,,Multiple Appliances,6,,,
,,,,,Double Stacker,8,,,,Beko - (Domestic),6,,,
,,,,Washing Machine Total,,731,,,,Highland - (Premium Domestic) - (Limited Parts),6,,,
,,,,Oven - (Freestanding),(blank),259,,,,Everdure - (Commercial) - (Limited Parts),5,,,
,,,,,Electric,180,,,,Bosch - (Domestic),3,,,
,,,,,Dual Fuel,86,,,,Unknown,3,,,
,,,,,Free Standing,85,,,Cooktop Total,,92,,,
,,,,,Natural Gas,26,,,Dryer,Fisher and Paykel - (Domestic),19,,,
,,,,,Built In,21,,,,Bosch - (Domestic),13,,,
,,,,,Pyrolytic,6,,,,Siemens - (Domestic),9,,,
,,,,,Gas,4,,,,Westinghouse - (Domestic),6,,,
,,,,,Double,3,,,,Omega - (Domestic),6,,,
,,,,Oven - (Freestanding) Total,,670,,,,Maytag - (Commercial),6,,,
,,,,Refrigerator,Fridge & Freezer,262,,,,Euro - (Domestic),5,,,
,,,,,(blank),251,,,,Simpson - (Domestic),3,,,
,,,,,Fridge Only,27,,,,Electrolux - (Domestic),1,,,
,,,,,French Door,17,,,Dryer Total,,68,,,
,,,,,Freezer Only,13,,,Rangehood,Fisher and Paykel - (Domestic),7,,,
,,,,,Bar Fridge,3,,,,Westinghouse - (Domestic),6,,,
,,,,Refrigerator Total,,573,,,,Ilve - (Premium Domestic),6,,,
,,,,Cooktop,Gas,152,,,,Smeg - (Domestic),3,,,
,,,,,Natural Gas,71,,,Rangehood Total,,22,,,
,,,,,(blank),68,,,Microwave,Ilve - (Premium Domestic),8,,,
,,,,,Ceramic,40,,,,Baumatic - (Domestic),7,,,
,,,,,LPG Gas,22,,,,Breville - (Domestic),6,,,
,,,,,Induction,20,,,Microwave Total,,21,,,
,,,,,Electric,16,,,Other,Multiple Appliances,9,,,
,,,,,Other,6,,,,Maytag - (Commercial),5,,,
,,,,Cooktop Total,,395,,,Other Total,,14,,,
,,,,Dryer,(blank),147,,,Bain Marie,Roband - (Commercial),10,,,
,,,,,Condenser,40,,,Bain Marie Total,,10,,,
,,,,,Vented,39,,,Commercial Appliance,Washtech - (Commercial),6,,,
,,,,,Heat Pump,38,,,,Thor - (Commercial),4,,,
,,,,,Stacked,21,,,Commercial Appliance Total,,10,,,
,,,,,Commercial,8,,,Combo Washer & Dryer,LG - (Domestic),6,,,
,,,,Dryer Total,,293,,,Combo Washer & Dryer Total,,6,,,
,,,,Oven - (Built In),Electric,118,,,Coffee Machine,AEG - (Domestic),3,,,
,,,,,(blank),31,,,Coffee Machine Total,,3,,,
,,,,,Gas,9,,,,,,,,
,,,,Oven - (Built In) Total,,158,,SA,Dishwasher,Bosch - (Domestic),44,,,
,,,,Combo Washer & Dryer,(blank),72,,,,Fisher and Paykel - (Domestic),40,,,
,,,,,Unknown,5,,,,Smeg - (Domestic),37,,,
,,,,Combo Washer & Dryer Total,,77,,,,Miele - (Premium Domestic),31,,,
,,,,Rangehood,Canopy,32,,,,Westinghouse - (Domestic),20,,,
,,,,,(blank),30,,,,Asko - (Premium Domestic),20,,,
,,,,,Fixed,11,,,,Hobart - (Commercial),19,,,
,,,,Rangehood Total,,73,,,,Omega - (Domestic),12,,,
,,,,Commercial Appliance,(blank),24,,,,Eswood - (Commercial),11,,,
,,,,,Dishwasher - (Underbench),18,,,,Ariston - (Domestic),10,,,
,,,,,Freezer Only,10,,,,Siemens - (Domestic),8,,,
,,,,Commercial Appliance Total,,52,,,,Euro - (Domestic),8,,,
,,,,Coffee Machine,Other,31,,,,Meiko - (Commercial),8,,,
,,,,Coffee Machine Total,,31,,,,Washtech - (Commercial),6,,,
,,,,Microwave,Built In,17,,,,LG - (Domestic),6,,,
,,,,,(blank),8,,,,Beko - (Domestic),5,,,
,,,,,Bench Top,4,,,,Comenda - (Commercial),5,,,
,,,,Microwave Total,,29,,,,Multiple Appliances,4,,,
,,,,Vacuum Cleaner,(blank),17,,,,Dishlex - (Domestic),3,,,
,,,,,Domestic,5,,,,Fagor - (Premium Domestic),3,,,
,,,,Vacuum Cleaner Total,,22,,,,(blank),,,,
,,,,General Maintenance,(blank),6,,,,,,,,
,,,,General Maintenance Total,,6,,,Refrigerator,Samsung - (Domestic),61,,,
,,,Multiple Appliances Total,,,6375,,,,Westinghouse - (Domestic),47,,,
,,,Asko - (Premium Domestic),Dishwasher,Under Bench,2277,,,,LG - (Domestic),39,,,
,,,,,(blank),551,,,,Fisher and Paykel - (Domestic),29,,,
,,,,,Fully Integrated,283,,,,Hisense - (Domestic),21,,,
,,,,,Free Standing,258,,,,Kelvinator - (Domestic),14,,,
,,,,,Semi Integrated,24,,,,Jenn Air - (Premium Domestic) - (Limited Parts),11,,,
,,,,,Other,22,,,,Multiple Appliances,10,,,
,,,,Dishwasher Total,,3415,,,,Electrolux - (Domestic),9,,,
,,,,Washing Machine,Front Loader,1289,,,,Mitsubishi - (Domestic) - (Limited Parts),6,,,
,,,,,(blank),56,,,,Liebherr - (Premium Domestic),6,,,
,,,,,Stacked,16,,,,Amana - (Premium Domestic) - (Limited Parts),6,,,
,,,,,Top Loader,6,,,,Maytag @ Home - (Premium Domestic),6,,,
,,,,Washing Machine Total,,1367,,,,Whirlpool - (Domestic),5,,,
,,,,Dryer,Heat Pump,159,,,,Grand Cru - (Premium Domestic) - (Limited Parts),5,,,
,,,,,Condenser,118,,,,DeLonghi - (Domestic),3,,,
,,,,,(blank),106,,,,GE - (Premium Domestic) - (Limited Parts),3,,,
,,,,,Stacked,11,,,Refrigerator Total,,281,,,
,,,,,Electric,8,,,Washing Machine,Bosch - (Domestic),30,,,
,,,,Dryer Total,,402,,,,Asko - (Premium Domestic),26,,,
,,,,Oven - (Built In),Electric,92,,,,Fisher and Paykel - (Domestic),24,,,
,,,,,Pyrolytic,40,,,,Miele - (Premium Domestic),18,,,
,,,,,Steam Oven,8,,,,Samsung - (Domestic),13,,,
,,,,,(blank),4,,,,LG - (Domestic),11,,,
,,,,Oven - (Built In) Total,,144,,,,Ariston - (Domestic),7,,,
,,,,Oven - (Freestanding),Electric,85,,,,Beko - (Domestic),7,,,
,,,,,(blank),17,,,,Hisense - (Domestic),6,,,
,,,,,Pyrolytic,15,,,,Whirlpool - (Domestic),3,,,
,,,,,Built In,3,,,,Haier - (Domestic),3,,,
,,,,,Free Standing,3,,,Washing Machine Total,,148,,,
,,,,Oven - (Freestanding) Total,,123,,,Oven - (Freestanding),Smeg - (Domestic),16,,,
,,,,Rangehood,(blank),24,,,,Kleenmaid - (Premium Domestic),12,,,
,,,,,Slide out,8,,,,Technika - (Domestic),9,,,
,,,,Rangehood Total,,32,,,,Westinghouse - (Domestic),7,,,
,,,,Cooktop,Gas,9,,,,Ilve - (Premium Domestic),6,,,
,,,,,Natural Gas,7,,,,Neff - (Premium Domestic),5,,,
,,,,,Induction,6,,,,Omega - (Domestic),3,,,
,,,,,Electric,5,,,,Blanco - (Domestic),3,,,
,,,,,(blank),4,,,,Fisher and Paykel - (Domestic),1,,,
,,,,Cooktop Total,,31,,,Oven - (Freestanding) Total,,62,,,
,,,,Other,(blank),22,,,Dryer,Bosch - (Domestic),7,,,
,,,,Other Total,,22,,,,Hisense - (Domestic),7,,,
,,,,Refrigerator,Fridge & Freezer,8,,,,Simpson - (Domestic),6,,,
,,,,Refrigerator Total,,8,,,,LG - (Domestic),6,,,
,,,,Microwave,Convection,3,,,,Fisher and Paykel - (Domestic),3,,,
,,,,Microwave Total,,3,,,Dryer Total,,29,,,
,,,Asko - (Premium Domestic) Total,,,5547,,,Rangehood,Euromaid - (Domestic),9,,,
,,,Electrolux - (Domestic),Washing Machine,Front Loader,1152,,,,Smeg - (Domestic),7,,,
,,,,,(blank),65,,,Rangehood Total,,16,,,
,,,,,Top Loader,18,,,Cooktop,Blanco - (Domestic),6,,,
,,,,,Stacked,8,,,,Siemens - (Domestic),6,,,
,,,,,Other,6,,,,Kleenmaid - (Premium Domestic),3,,,
,,,,,Twin Tub,6,,,Cooktop Total,,15,,,
,,,,Washing Machine Total,,1255,,,Other,Multiple Appliances,13,,,
,,,,Dryer,Vented,327,,,Other Total,,13,,,
,,,,,(blank),261,,,Microwave,Bosch - (Domestic),6,,,
,,,,,Condenser,212,,,Microwave Total,,6,,,
,,,,,Heat Pump,160,,,Ice Maker,Maxkon - (Domestic) - (Limited Parts),5,,,
,,,,,Wall Mounted,82,,,Ice Maker Total,,5,,,
,,,,,Unknown,26,,SA Total,,,875,,,
,,,,,Free Standing,8,,WA,Refrigerator,Westinghouse - (Domestic),64,,,
,,,,,Electric,6,,,,Fisher and Paykel - (Domestic),53,,,
,,,,,Other,5,,,,Samsung - (Domestic),46,,,
,,,,Dryer Total,,1087,,,,LG - (Domestic),36,,,
,,,,Refrigerator,Fridge & Freezer,837,,,,Whirlpool - (Domestic),7,,,
,,,,,(blank),75,,,,Grand Cru - (Premium Domestic) - (Limited Parts),5,,,
,,,,,French Door,10,,,,Kelvinator - (Domestic),3,,,
,,,,,Freezer Only,8,,,,Hisense - (Domestic),3,,,
,,,,,Unknown,6,,,,Paul Bocuse - (Domestic) - (Limited Parts),3,,,
,,,,,Other,3,,,,Miele - (Premium Domestic),1,,,
,,,,Refrigerator Total,,939,,,Refrigerator Total,,221,,,
,,,,Dishwasher,Under Bench,379,,,Washing Machine,Bosch - (Domestic),53,,,
,,,,,Fully Integrated,84,,,,Fisher and Paykel - (Domestic),32,,,
,,,,,Free Standing,84,,,,LG - (Domestic),21,,,
,,,,,(blank),82,,,,Asko - (Premium Domestic),20,,,
,,,,,Semi Integrated,5,,,,Simpson - (Domestic),17,,,
,,,,,Other,5,,,,Ariston - (Domestic),15,,,
,,,,Dishwasher Total,,639,,,,Hoover - (Domestic),11,,,
,,,,Oven - (Built In),Electric,178,,,,Samsung - (Domestic),9,,,
,,,,,(blank),74,,,,Electrolux - (Domestic),9,,,
,,,,,Gas,19,,,,Haier - (Domestic),9,,,
,,,,,Pyrolytic,18,,,,Miele - (Premium Domestic),1,,,
,,,,,Double,15,,,Washing Machine Total,,197,,,
,,,,Oven - (Built In) Total,,304,,,Dishwasher,Bosch - (Domestic),43,,,
,,,,Oven - (Freestanding),Electric,152,,,,Fisher and Paykel - (Domestic),38,,,
,,,,,Built In,34,,,,Smeg - (Domestic),16,,,
,,,,,Dual Fuel,25,,,,Miele - (Premium Domestic),14,,,
,,,,,Natural Gas,18,,,,Asko - (Premium Domestic),12,,,
,,,,,Free Standing,6,,,,Ikea - (Domestic) - (Limited Parts),11,,,
,,,,,Double,5,,,,LG - (Domestic),9,,,
,,,,Oven - (Freestanding) Total,,240,,,,Blanco - (Domestic),9,,,
,,,,Combo Washer & Dryer,(blank),103,,,,Multiple Appliances,7,,,
,,,,,Electric,62,,,,Westinghouse - (Domestic),6,,,
,,,,,Unknown,41,,,,Beko - (Domestic),6,,,
,,,,,Other,8,,,,Siemens - (Domestic),6,,,
,,,,Combo Washer & Dryer Total,,214,,,,Unknown,3,,,
,,,,Cooktop,Induction,91,,,,Dishlex - (Domestic),1,,,
,,,,,Gas,47,,,Dishwasher Total,,181,,,
,,,,,Natural Gas,15,,,Oven - (Freestanding),Westinghouse - (Domestic),20,,,
,,,,,(blank),12,,,,Smeg - (Domestic),14,,,
,,,,,LPG Gas,7,,,,Euromaid - (Domestic),13,,,
,,,,,Ceramic,7,,,,Electrolux - (Domestic),12,,,
,,,,,Electric,5,,,,Fisher and Paykel - (Domestic),9,,,
,,,,Cooktop Total,,184,,,,Other,8,,,
,,,,Rangehood,(blank),15,,,,Chef - (Domestic),8,,,
,,,,,Canopy,6,,,,DeLonghi - (Domestic),6,,,
,,,,Rangehood Total,,21,,,,Ilve - (Premium Domestic),6,,,
,,,,Microwave,Built In,9,,,,Blanco - (Domestic),5,,,
,,,,Microwave Total,,9,,,,Unknown,3,,,
,,,,Vacuum Cleaner,Domestic,1,,,,Technika - (Domestic),3,,,
,,,,Vacuum Cleaner Total,,1,,,Oven - (Freestanding) Total,,107,,,
,,,Electrolux - (Domestic) Total,,,4893,,,Dryer,Electrolux - (Domestic),9,,,
,,,Ilve - (Premium Domestic),Oven - (Freestanding),Electric,610,,,,Westinghouse - (Domestic),7,,,
,,,,,Free Standing,408,,,,Smeg - (Domestic),6,,,
,,,,,Dual Fuel,356,,,,Asko - (Premium Domestic),4,,,
,,,,,(blank),236,,,Dryer Total,,26,,,
,,,,,Built In,72,,,Other,Multiple Appliances,23,,,
,,,,,Natural Gas,43,,,Other Total,,23,,,
,,,,,Steam Oven,27,,,Microwave,Miele - (Premium Domestic),12,,,
,,,,,Stove,20,,,,Bosch - (Domestic),9,,,
,,,,,Double,18,,,Microwave Total,,21,,,
,,,,,Gas,6,,WA Total,,,776,,,
,,,,,Pyrolytic,4,,ACT,Dishwasher,Westinghouse - (Domestic),14,,,
,,,,Oven - (Freestanding) Total,,1800,,,,Norris - (Commercial),7,,,
,,,,Dishwasher,Fully Integrated,396,,,,Fisher and Paykel - (Domestic),5,,,
,,,,,Under Bench,197,,,,Bosch - (Domestic),3,,,
,,,,,Semi Integrated,109,,,Dishwasher Total,,29,,,
,,,,,(blank),29,,,Ice Maker,Scootsman - (Commercial),8,,,
,,,,,Free Standing,16,,,Ice Maker Total,,8,,,
,,,,,Bench Top,6,,ACT Total,,,37,,,
,,,,Dishwasher Total,,753,,NT,Dishwasher,Norris - (Commercial),5,,,
,,,,Oven - (Built In),Electric,354,,,,Haier - (Domestic),5,,,
,,,,,(blank),141,,,Dishwasher Total,,10,,,
,,,,,Double,62,,,Dryer,Electrolux - (Domestic),8,,,
,,,,,Gas,36,,,Dryer Total,,8,,,
,,,,,Steam Oven,7,,NT Total,,,18,,,
,,,,Oven - (Built In) Total,,600,,TAS,Cooktop,Euromaid - (Domestic),5,,,
,,,,Cooktop,Gas,209,,,Cooktop Total,,5,,,
,,,,,Natural Gas,132,,TAS Total,,,5,,,
,,,,,LPG Gas,36,,(blank),(blank),(blank),,,,
,,,,,Induction,32,,,(blank) Total,,,,,
,,,,,(blank),26,,(blank) Total,,,,,,
,,,,,Ceramic,12,,Grand Total,,,8955,,,
,,,,Cooktop Total,,447,,,,,,,,
,,,,Rangehood,(blank),81,,,,,,,,
,,,,,Canopy,77,,,,,,,,
,,,,,Slide out,69,,,,,,,,
,,,,,Fixed,39,,,,,,,,
,,,,Rangehood Total,,266,,,,,,,,
,,,,Refrigerator,Wine Fridge,72,,,,,,,,
,,,,,Fridge & Freezer,50,,,,,,,,
