Machine Brand,Count of Machine Brand,,Machine Brand,Machine Type,Machine Sub-Type,Count of Machine Brand,,Technician: State,Machine Type,Machine Brand,Count of Machine Brand,,State,Count of Technician: State
Lofra - (Domestic),265,,,Combo Washer & Dryer Total,,139,,,,Bellissimo - (Domestic),6,,,
Bellini - (Domestic),262,,,Microwave,Built In,48,,,,LG - (Domestic),6,,,
Highland - (Premium Domestic) - (Limited Parts),256,,,Microwave Total,,48,,,,Ilve - (Premium Domestic),6,,,
Neff - (Premium Domestic),256,,,Other,(blank),17,,,,Baumatic - (Domestic),6,,,
IAG - (Domestic),247,,,Other Total,,17,,,,Omega - (Domestic),6,,,
KitchenAid - (Premium Domestic),240,,Fisher and Paykel - (Domestic) Total,,,20752,,,,Platinum - (Domestic),6,,,
Amana - (Premium Domestic) - (Limited Parts),233,,Bosch - (Domestic),Dishwasher,Under Bench,3311,,,,Artusi - (Domestic),5,,,
Moffat - (Commercial),226,,,,Free Standing,1881,,,,Winterhalter - (Commercial),5,,,
Glem - (Domestic),226,,,,(blank),956,,,,Euro - (Domestic),4,,,
Mitsubishi - (Domestic) - (Limited Parts),218,,,,Fully Integrated,532,,,,Ikea - (Domestic) - (Limited Parts),3,,,
Emilia - (Domestic),215,,,,Semi Integrated,271,,,,Washtech - (Commercial),3,,,
Jura - (Premium Domestic),214,,,,45cm Slim Dishwasher,12,,,,Dishlex - (Domestic),3,,,
ChiQ - (Domestic) - (Limited Parts),210,,,Dishwasher Total,,6963,,,,Comenda - (Commercial),3,,,
Schmick - (Domestic),195,,,Washing Machine,Front Loader,4406,,,,Bellini - (Domestic),3,,,
Comenda - (Commercial),174,,,,(blank),206,,,,Di Lusso - (Domestic),3,,,
Goldline - (Premium Domestic),173,,,,Top Loader,23,,,,Meiko - (Commercial),1,,,
Damani - (Domestic),171,,,,Stacked,7,,,,(blank),,,,
Midea - (Domestic) - (Limited Parts),158,,,Washing Machine Total,,4642,,,,,,,,
Solt - (Domestic) - (Limited Parts),155,,,Dryer,(blank),385,,,Washing Machine,Fisher and Paykel - (Domestic),123,,,
Belling - (Domestic),149,,,,Condenser,327,,,,Bosch - (Domestic),116,,,
Husky - (Domestic / Premium Domestic / Commercial),148,,,,Heat Pump,324,,,,Samsung - (Domestic),97,,,
Fagor - (Commercial),145,,,,Vented,45,,,,LG - (Domestic),91,,,
Unox - (Commercial),144,,,,Stacked,27,,,,Miele - (Premium Domestic),63,,,
Williams - (Commercial),141,,,,Other,23,,,,Whirlpool - (Domestic),40,,,
